name,type
Abacate,Flatulento 
Acelga,Flatulento 
Açúcar,Flatulento 
Agrião,Flatulento 
Águas Gasosas,Flatulento 
Alho,Flatulento 
Amêndoa,Flatulento 
Amendoim,Flatulento 
Batata Doce,Flatulento 
Beterraba,Flatulento 
Brócolis,Flatulento 
Castanha,Flatulento 
Cebola,Flatulento 
Cebolinha,Flatulento 
Coalhada,Flatulento 
Couve,Flatulento 
Couve-flor,Flatulento 
Churcute,Flatulento 
Doces,Flatulento 
Feijão Seco,Flatulento 
Fava,Flatulento 
Gérmem de trigo,Flatulento 
Grão de Bico,Flatulento 
Iogurte,Flatulento 
Jaca,Flatulento 
Leite,Flatulento 
Lentilha,Flatulento 
Maçã crua,Flatulento 
Melão,Flatulento 
Melancia,Flatulento 
Mostarda,Flatulento 
Milho,Flatulento 
Nabo,Flatulento 
Nozes,Flatulento 
Ovo,Flatulento 
Pepino,Flatulento 
Pimentão,Flatulento 
Pimentas,Flatulento 
Rabanete,Flatulento 
Refrigerante,Flatulento 
Repolho,Flatulento 
Soja,Flatulento 
Sorvete,Flatulento 
Uvas Passas,Flatulento 
Vagem,Flatulento 
