name,type
Abacate,Flatulento
Acelga,Flatulento
Açúcar,Flatulento
Agrião,Flatulento
Águas Gasosas,Flatulento
Alho,Flatulento
Amêndoas,Flatulento
Amendoim,Flatulento
Batata Doce,Flatulento
Beterraba,Flatulento
Brócolis,Flatulento
Castanhas,Flatulento
Cebola,Flatulento
Cebolinha,Flatulento
Coalhada,Flatulento
Couve,Flatulento
Couve-flor,Flatulento
Churcute,Flatulento
Doces,Flatulento
Feijão Seco,Flatulento
Fava,Flatulento
Gérmem de trigo,Flatulento
Grão de Bico,Flatulento
Iogurte,Flatulento
Jaca,Flatulento
Leite,Flatulento
Lentilha,Flatulento
Maçã crua,Flatulento
Melão,Flatulento
Melancia,Flatulento
Mostarda,Flatulento
Milho,Flatulento
Nabo,Flatulento
Nozes,Flatulento
Ovo,Flatulento
Pepino,Flatulento
Pimentão,Flatulento
Pimentas,Flatulento 
Rabanete,Flatulento
Refrigerante,Flatulento
Repolho,Flatulento
Soja,Flatulento
Sorvete,Flatulento
Uvas Passas,Flatulento
Vagem,Flatulento
Abóbora,Funcional
Alho,Funcional
Azeite de Oliva,Funcional
Cenoura,Funcional
Cereais integrais,Funcional
Couve,Funcional
Brócolis,Funcional
Damasco,Funcional
Espinafre,Funcional
Feijão,Funcional
Frutos do mar,Funcional
Inhame,Funcional
Iogurte,Funcional
Leite fermentado,Funcional
Linhaça,Funcional
Maçã,Funcional
Mamão,Funcional
Manga,Funcional
Melancia,Funcional
Óleos vegetais,Funcional
Peixe,Funcional
Soja,Funcional
Tomate,Funcional
Uva,Funcional
Vinho,Funcional
Abacate,Laxativo
Abacaxi,Laxativo
Abóbora,Laxativo
Abobrinha,Laxativo
Agrião,Laxativo
Amendoim,Laxativo
Ameixa,Laxativo
Aspargo,Laxativo
Beterraba,Laxativo
Brócolis,Laxativo
Cenoura crua,Laxativo
Couve,Laxativo
Creme de leite,Laxativo
Ervilha,Laxativo
Farelo de cereais,Laxativo
Fruta com bagaço,Laxativo
Feijão,Laxativo
Figo seco,Laxativo
Granola,Laxativo
Grão de Bico,Laxativo
Kiwi,Laxativo
Lentilha,Laxativo
Maçã c/ casca,Laxativo
Mamão,Laxativo
Manga,Laxativo
Maxixe,Laxativo
Mel,Laxativo
Melado,Laxativo
Melão,Laxativo
Milho,Laxativo
Morango,Laxativo
Nozes,Laxativo
Óleos Vegetais,Laxativo
Quiabo,Laxativo
Pão integral,Laxativo
Pepino,Laxativo
Rabanete,Laxativo
Repolho,Laxativo
Uva passa,Laxativo
Vagem,Laxativo
Tomate,Laxativo
Água de arroz,Obstipante
Arroz branco,Obstipante
Banana prata,Obstipante
Batata,Obstipante
Caju,Obstipante
Cará,Obstipante
Cenoura cozida,Obstipante
Chá broto de goiaba,Obstipante
Chá preto,Obstipante
Creme de arroz,Obstipante
Farinha de araruta,Obstipante
Farinha de mandioca,Obstipante
Farinha de trigo,Obstipante
Goiaba,Obstipante
Limão,Obstipante
Maçã s/ casca,Obstipante
Amido de milho,Obstipante
Mandioca,Obstipante
Muclicagem de arroz,Obstipante
Pão Branco,Obstipante
Pêra s/ casca,Obstipante
Tapioca,Obstipante
Torradas,Obstipante
Abacate,Acido Fólico
Abacaxi,Acido Fólico
Agrião,Acido Fólico
Amêndoas,Acido Fólico
Amendoim,Acido Fólico
Aspargo,Acido Fólico
Aveia,Acido Fólico
Banana,Acido Fólico
Brócolis,Acido Fólico
Carne magra,Acido Fólico
Cenoura,Acido Fólico
Centeio,Acido Fólico
Cogumelo,Acido Fólico
Couve,Acido Fólico
Couve-flor,Acido Fólico
Ervilha,Acido Fólico
Espinafre,Acido Fólico
Feijões,Acido Fólico
Fígado,Acido Fólico
Gema de ovo,Acido Fólico
Iogurte,Acido Fólico
Laranja,Acido Fólico
Lentilha,Acido Fólico
Limão,Acido Fólico
Morango,Acido Fólico
Pão integral,Acido Fólico
Peixe,Acido Fólico
Pêssego,Acido Fólico
Queijos,Acido Fólico
Tangerina,Acido Fólico
Abóbora,Ácido Oxálico
Acelga,Ácido Oxálico
Agrião,Ácido Oxálico
Aipo,Ácido Oxálico
Alho-poró,Ácido Oxálico
Amêndoas,Ácido Oxálico
Amendoim,Ácido Oxálico
Amora,Ácido Oxálico
Batata doce,Ácido Oxálico
Bebidas Fermentadas,Ácido Oxálico
Berinjela,Ácido Oxálico
Beterraba,Ácido Oxálico
Cacau,Ácido Oxálico
Casca de laranja,Ácido Oxálico
Casca de lima,Ácido Oxálico
Casca de limão,Ácido Oxálico
Chá preto,Ácido Oxálico
Chicória,Ácido Oxálico
Chocolate,Ácido Oxálico
Couve,Ácido Oxálico
Escarola,Ácido Oxálico
Espinafre,Ácido Oxálico
Feijão,Ácido Oxálico
Framboesa,Ácido Oxálico
Gérmen de  trigo,Ácido Oxálico
Milho branco,Ácido Oxálico
Marmelada,Ácido Oxálico
Morango,Ácido Oxálico
Mostada verde,Ácido Oxálico
Nozes,Ácido Oxálico
Pimenta verde,Ácido Oxálico
Passas vermelhas,Ácido Oxálico
Quiabo,Ácido Oxálico
Repolho crespo,Ácido Oxálico
Ruibarbo,Ácido Oxálico
Salsa,Ácido Oxálico
Sopa de tomate,Ácido Oxálico
Sopa de vegetais,Ácido Oxálico
Tangerina,Ácido Oxálico
Uvas rosadas,Ácido Oxálico
Abobrinha,Cálcio
Agrião,Cálcio
Alfafa,Cálcio
Amêndoas,Cálcio
Anchovas,Cálcio
Badejo,Cálcio
Beterraba,Cálcio
Brócolis,Cálcio
Chocolate ao leite,Cálcio
Coalhada,Cálcio
Corvina,Cálcio
Couve,Cálcio
Creme de leite,Cálcio
Doce de leite,Cálcio
Farinha de peixe,Cálcio
Feijão branco,Cálcio
Espinafre,Cálcio
Iogurte,Cálcio
Iogurte desnatado,Cálcio
Leite desnatado,Cálcio
Marisco,Cálcio
Merluza,Cálcio
Mingau,Cálcio
Gema de Ovo,Cálcio
Queijo parmesão,Cálcio
Queijo minas,Cálcio
Queijo prato,Cálcio
Quiabo,Cálcio
Rabanete,Cálcio
Requeijão,Cálcio
Ricota,Cálcio
Salmão,Cálcio
Sementes de girassol,Cálcio
Sardinha em conserva,Cálcio
Tofu,Cálcio
Achocolatado,Colesterol
Bacon,Colesterol
Banha,Colesterol
Biscoito recheado,Colesterol
Caranguejo,Colesterol
Caldo de carne,Colesterol
Camarão,Colesterol
Carnes gordas,Colesterol
Coração,Colesterol
Creme de leite,Colesterol
Fígado,Colesterol
Gema de ovo,Colesterol
Iogurte integral,Colesterol
Lagosta,Colesterol
Leite integral,Colesterol
Maionese,Colesterol
Manteiga,Colesterol
Miolo,Colesterol
Molhos industrializados,Colesterol
Ostra,Colesterol
Pele de aves,Colesterol
Presunto,Colesterol
Queijos amarelos,Colesterol
Queijo minas,Colesterol
Requeijão,Colesterol
Rim,Colesterol
Salsicha,Colesterol
Sardinha em conserva,Colesterol
Sorvete,Colesterol
Tortas ,Colesterol
Toucinho,Colesterol
Abacate,Potássio
Abacaxi,Potássio
Acelga,Potássio
Aipo,Potássio
Almeirão,Potássio
Ameixa,Potássio
Amêndoas,Potássio
Amendoim,Potássio
Amora,Potássio
Aveia,Potássio
Avelã,Potássio
Banana prata,Potássio
Banana d'agua,Potássio
Batata,Potássio
Batata doce,Potássio
Beterraba,Potássio
Brócolis,Potássio
Cacau,Potássio
Caldo de carne,Potássio
Castanhas,Potássio
Cenoura,Potássio
Chá preto,Potássio
Chicória,Potássio
Chocolate,Potássio
Couve,Potássio
Couve-flor,Potássio
Camarão seco,Potássio
Damasco,Potássio
Ervilha,Potássio
Espinafre,Potássio
Feijão,Potássio
Figo,Potássio
Frutas secas,Potássio
Grão de bico,Potássio
Laranja,Potássio
Lentilha,Potássio
Lima,Potássio
Mamão,Potássio
Mandioca,Potássio
Mandioquinha,Potássio
Maracujá,Potássio
Melancia,Potássio
Melão,Potássio
Milho verde,Potássio
Nozes,Potássio
Palmito,Potássio
Pão integral,Potássio
Rabanete,Potássio
Soja,Potássio
Tamarindo,Potássio
Tomate,Potássio
Uva passa,Potássio
Atum enlatado,Sódio
Aspargo,Sódio
Azeitona verde,Sódio
Bacalhau,Sódio
Bacon,Sódio
Batata frita,Sódio
Biscoito salgado,Sódio
Caldos concentrados,Sódio
Carne de sol,Sódio
Charque,Sódio
Chouriço,Sódio
Ervilha enlatada,Sódio
Extrato de tomate,Sódio
Ketchup,Sódio
Linguiça,Sódio
Manteiga c/ sal,Sódio
Margarina c/ sal,Sódio
Milho enlatado,Sódio
Molho inglês,Sódio
Mortadela,Sódio
Mostarda,Sódio
Paio,Sódio
Presunto,Sódio
Queijos,Sódio
Salame,Sódio
Sardinha,Sódio
Salsicha,Sódio
Salgadinhos,Sódio
Sardinha enlatada,Sódio
Shoyu,Sódio
Sopas prontas,Sódio
Palmito em conserva,Sódio
Patês industrializados,Sódio
Picles,Sódio
Requeijão,Sódio
Temperos industrializados,Sódio
Toucinho,Sódio
Acelga,Enxofre
Agrião,Enxofre
Aipo,Enxofre
Brócolis,Enxofre
Caruru,Enxofre
Chicória,Enxofre
Carne,Enxofre
Couve,Enxofre
Couve-flor,Enxofre
Cebola,Enxofre
Escarola,Enxofre
Espinafre,Enxofre
Feijão preto,Enxofre
Grão de bico,Enxofre
Leite de milho,Enxofre
Mostarda,Enxofre
Nabo,Enxofre
Pimentão,Enxofre
Rabanete,Enxofre
Repolho,Enxofre
Ovo,Enxofre
Açaí,Ferro
Açúcar mascavo,Ferro
Agrião,Ferro
Ameixa seca,Ferro
Amêndoas,Ferro
Aveia,Ferro
Banana passa,Ferro
Bertalha,Ferro
Beterraba,Ferro
Brócolis,Ferro
Carne,Ferro
Castanha de caju,Ferro
Couve,Ferro
Damasco,Ferro
Ervilha,Ferro
Espinafre,Ferro
Melado,Ferro
Feijão,Ferro
Fígado,Ferro
Gema de ovo,Ferro
Inhame,Ferro
Jenipapo,Ferro
Jiló,Ferro
Lentilha,Ferro
Maçã,Ferro
Marisco,Ferro
Morango,Ferro
Mostarda,Ferro
